Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Sierra Vista Leisure Services,2013,AZ,75151135.0,46351.0,21,2,
Fairway Parks and Recreation,2011,KS,333000.0,3900.0,5,0,1
San Dimas (City of) Parks and Recreation Department,2012,CA,,36000.0,,,68
Springfield-Greene County Park Board,2012,MO,,287000.0,92,10,274
Springfield-Greene County Park Board,2011,MO,,,,,
Springfield-Greene County Park Board,2014,MO,451474476.0,287000.0,92,10,273
Springfield-Greene County Park Board,2018,,,,,,
Springfield-Greene County Park Board,2019,MO,572421277.0,287000.0,104,20,287
Springfield-Greene County Park Board,2016,MO,319454383.0,287000.0,92,10,273
Springfield-Greene County Park Board,2022,MO,572421277.0,287000.0,104,20,284
Springfield-Greene County Park Board,2020,MO,572421277.0,287000.0,104,20,284
Bemidji Parks and  Recreation,2021,MN,1145000.0,15132.0,24,,9
Bemidji Parks and  Recreation,2022,MN,1238333.0,15279.0,24,,11
Bemidji Parks and  Recreation,2018,MN,,,,,7
Bemidji Parks and  Recreation,2013,MN,,13431.0,17,0,12
Bemidji Parks and  Recreation,2011,MN,,13431.0,17,0,12
Bemidji Parks and  Recreation,2010,MN,,,17,0,
Bemidji Parks and  Recreation,2009,MN,,,17,0,
Bemidji Parks and  Recreation,2012,MN,,,17,0,
Grayslake Community Park District,2012,IL,5000000.0,24000.0,53,0,21
Grayslake Community Park District,2011,IL,5000000.0,24000.0,53,0,21
Grayslake Community Park District,2014,IL,4700000.0,,33,15,15
Grayslake Community Park District,2015,IL,4200000.0,23000.0,33,8,51
Hoffman Estates Park District,2015,IL,20224306.0,51895.0,71,7,185
Hoffman Estates Park District,2017,IL,21593904.0,51895.0,76,3,189
Hoffman Estates Park District,2016,IL,23242276.0,51895.0,79,54,189
Hoffman Estates Park District,2019,IL,,51197.0,76,5,
Hoffman Estates Park District,2014,IL,23340049.0,51895.0,71,7,185
Hoffman Estates Park District,2011,IL,,,69,0,
Hoffman Estates Park District,2009,IL,23000000.0,53000.0,69,0,
Hoffman Estates Park District,2010,IL,13369416.0,52000.0,69,0,171
Hoffman Estates Park District,2022,IL,16611139.0,52530.0,80,6,144
Hoffman Estates Park District,2021,IL,12481011.0,52530.0,80,6,144
Hoffman Estates Park District,2020,IL,23343665.0,51197.0,76,5,
M-NCPPC Parks and Recreation/Prince George's County,2021,MD,307950558.0,909327.0,579,29,"1,562"
M-NCPPC Parks and Recreation/Prince George's County,2010,MD,271173200.0,872014.0,582,0,"1,725"
M-NCPPC Parks and Recreation/Prince George's County,2009,MD,181556900.0,872014.0,582,0,"1,725"
M-NCPPC Parks and Recreation/Prince George's County,2011,MD,,,582,0,
M-NCPPC Parks and Recreation/Prince George's County,2014,MD,220108400.0,871233.0,582,0,"1,710"
M-NCPPC Parks and Recreation/Prince George's County,2013,MD,220108400.0,871233.0,582,0,"1,710"
M-NCPPC Parks and Recreation/Prince George's County,2018,MD,113468102.0,1015563.0,421,6,867
M-NCPPC Parks and Recreation/Prince George's County,2016,MD,225904470.0,890081.0,397,439,933
M-NCPPC Parks and Recreation/Prince George's County,2017,MD,235787229.0,908049.0,578,28,"1,121"
M-NCPPC Parks and Recreation/Prince George's County,2015,MD,225904470.0,890081.0,397,439,933
Colton Community Services,2015,CA,29755904.0,56505.0,12,0,30
Colton Community Services,2014,CA,29755904.0,56505.0,12,0,30
Colton Community Services,2011,CA,31526457.0,53834.0,12,0,26
Broadview Heights Parks and Recreation Department,2012,OH,,20000.0,1,1,6
Charleston Recreation Dept,2016,SC,6500000.0,140000.0,125,0,82
Cranberry Township Parks and Recreation Department,2016,PA,1600000.0,30500.0,,,
Cranberry Township Parks and Recreation Department,2015,PA,19550100.0,30170.0,3,17,5
Cranberry Township Parks and Recreation Department,2011,PA,16835202.0,29000.0,4,0,
Cranberry Township Parks and Recreation Department,2021,PA,1600000.0,30500.0,,,
Brunswick Parks and Recreation,2011,GA,,,,,
Brunswick Parks and Recreation,2012,GA,15000000.0,16500.0,,,
Redmond Area Park and Recreation District,2012,OR,1725000.0,36000.0,3,3,13
Redmond Area Park and Recreation District,2013,OR,,,,,
Redmond Area Park and Recreation District,2021,OR,1606541.0,51000.0,3,,21
Redmond Area Park and Recreation District,2022,,222300.0,47000.0,3,,26
Wylie,2021,TX,46513417.0,57195.0,38,53,71
Wylie,2020,TX,46513417.0,53067.0,37,53,71
Wylie,2011,TX,52860914.0,43000.0,39,0,47
Wylie,2015,TX,62955603.0,48000.0,29,53,22
Fairfax (City of) Parks and Recreation Department,2015,VA,130464802.0,23973.0,30,5,43
Fairfax (City of) Parks and Recreation Department,2011,CO,,,28,0,
Fairfax (City of) Parks and Recreation Department,2012,VA,139326159.0,22565.0,28,0,43
Fairfax (City of) Parks and Recreation Department,2013,VA,122344468.0,22565.0,29,9,43
Fairfax (City of) Parks and Recreation Department,2014,VA,125599399.0,23938.0,29,9,43
Fairfax (City of) Parks and Recreation Department,2021,VA,147656997.0,23531.0,25,13,51
Charlotte County Community Services,2021,FL,1186229742.0,188910.0,63,14,122
Charlotte County Community Services,2020,FL,1194220359.0,188910.0,63,14,122
Charlotte County Community Services,2022,FL,1427843042.0,194736.0,64,14,259
Charlotte County Community Services,2011,FL,10896339.0,112821.0,,,
Charlotte County Community Services,2015,FL,915707265.0,168474.0,,,
Charlotte County Community Services,2017,FL,919065151.0,173115.0,63,14,138
Charlotte County Community Services,2016,FL,919065151.0,173115.0,63,14,138
Charlotte County Community Services,2018,FL,1091917236.0,182033.0,63,14,138
Charlotte County Community Services,2019,FL,1093381822.0,184998.0,63,14,114
Henderson (City of),2019,NV,568800000.0,316943.0,66,76,478
Henderson (City of),2018,NV,256968731.0,302070.0,64,0,
Henderson (City of),2016,NV,,,64,0,
Henderson (City of),2011,NV,231400000.0,267088.0,53,52,507
Henderson (City of),2009,NV,230300000.0,276428.0,45,49,488
Henderson (City of),2010,NV,225000000.0,267090.0,48,50,485
Henderson (City of),2012,NV,225200000.0,278047.0,57,52,513
Henderson (City of),2014,NV,225500000.0,279226.0,62,52,480
Henderson (City of),2013,NV,223300000.0,284968.0,60,52,518
Henderson (City of),2022,NV,614700000.0,332258.0,69,76,462
Henderson (City of),2020,NV,585382955.0,317660.0,67,76,437
Henderson (City of),2021,NV,595421362.0,332258.0,69,76,388
Geneseo Park District,2020,IL,3408450.0,11000.0,2,4,16
Geneseo Park District,2013,IL,3488657.0,6345.0,3,0,27
Geneseo Park District,2012,IL,2550514.0,6345.0,3,0,27
Geneseo Park District,2011,IL,2550514.0,6345.0,3,0,27
Washoe County Department of Regional Parks and Open Space,2011,NV,,421407.0,,,
Washoe County Department of Regional Parks and Open Space,2010,NV,,,,,
Washoe County Department of Regional Parks and Open Space,2015,NV,3500000.0,450000.0,,,
Washoe County Department of Regional Parks and Open Space,2019,NV,626786779.0,466000.0,56,70,40
Washoe County Department of Regional Parks and Open Space,2020,NV,607851895.0,471519.0,56,70,40
Washoe County Department of Regional Parks and Open Space,2021,NV,572348775.0,486492.0,56,70,17
Rio Linda Elverta Recreation and Park District,2021,CA,1659137.0,25000.0,8,2,24
Rio Linda Elverta Recreation and Park District,2020,CA,1450000.0,21600.0,7,3,17
Rio Linda Elverta Recreation and Park District,2022,CA,2522729.0,25000.0,9,2,25
Rio Linda Elverta Recreation and Park District,2019,CA,1200000.0,21600.0,7,3,16
Rio Linda Elverta Recreation and Park District,2013,CA,,28000.0,8,4,7
Dayton Recreation and Youth Services,2011,OH,150000000.0,166000.0,,,
Dayton Recreation and Youth Services,2019,OH,385628600.0,140640.0,,7,66
Dayton Recreation and Youth Services,2018,OH,364000000.0,140371.0,,,
Dayton Recreation and Youth Services,2017,OH,5736300.0,141759.0,0,7,48
Dayton Recreation and Youth Services,2020,OH,377944391.0,140407.0,,7,42
Dayton Recreation and Youth Services,2021,OH,386206200.0,140343.0,,,
Farragut Parks and Leisure Services,2016,TN,6785646.0,22676.0,4,2,12
Farragut Parks and Leisure Services,2018,TN,7011751.0,22729.0,,,
Farragut Parks and Leisure Services,2011,TN,,,,,
Farragut Parks and Leisure Services,2012,TN,5767519.0,20676.0,4,0,2
Farragut Parks and Leisure Services,2013,TN,,,,,
Anoka County Parks and Recreation,2011,MN,,331000.0,,,
Anoka County Parks and Recreation,2021,MN,342731774.0,356921.0,,,
"Bellevue (Village of) Parks, Recreation and Forestry",2011,WI,,15214.0,,,
"Bellevue (Village of) Parks, Recreation and Forestry",2012,WI,,,,,
"Bellevue (Village of) Parks, Recreation and Forestry",2018,WI,16535351.0,15423.0,15,0,7
"Bellevue (Village of) Parks, Recreation and Forestry",2016,WI,15701138.0,15337.0,15,0,7
"Bellevue (Village of) Parks, Recreation and Forestry",2017,WI,18457011.0,15365.0,15,0,7
"Bellevue (Village of) Parks, Recreation and Forestry",2015,WI,18100572.0,15076.0,13,0,7
Flower Mound (Town of),2011,TX,,,,,
Flower Mound (Town of),2010,TX,,,,,
"Carrollton Parks, Recreation and Cultural Arts Dep",2010,GA,17500000.0,24875.0,16,0,76
"Carrollton Parks, Recreation and Cultural Arts Dep",2011,GA,,,16,0,
"Carrollton Parks, Recreation and Cultural Arts Dep",2015,GA,5200000.0,24875.0,29,0,78
"Carrollton Parks, Recreation and Cultural Arts Dep",2018,GA,4743880.0,26815.0,29,,545
Jacksonville Parks and Recreation Department,2011,FL,25312237.0,821784.0,,,
Jacksonville Parks and Recreation Department,2010,FL,,,,,
Jacksonville Parks and Recreation Department,2013,FL,1469557702.0,836507.0,,,232
Lake County Parks and Recreation Department,2013,IN,,37097.0,,,13
Lake County Parks and Recreation Department,2012,IN,,493618.0,13,0,
Minneapolis Park and Recreation Board,2012,MN,1111800000.0,392880.0,,,"1,156"
Minneapolis Park and Recreation Board,2010,MN,1186800000.0,382578.0,,,829
Minneapolis Park and Recreation Board,2011,MN,1240000000.0,382578.0,,,818
Minneapolis Park and Recreation Board,2013,MN,1060700000.0,392880.0,,,"1,139"
Minneapolis Park and Recreation Board,2014,MN,1060700000.0,392880.0,,,"1,139"
Minneapolis Park and Recreation Board,2019,MN,1467661000.0,328000.0,180,14,972
Minneapolis Park and Recreation Board,2015,MN,1303000000.0,400079.0,,,832
Minneapolis Park and Recreation Board,2016,MN,1203000000.0,400079.0,179,0,821
Minneapolis Park and Recreation Board,2021,MN,1467661000.0,328000.0,180,14,972
Minneapolis Park and Recreation Board,2020,MN,1536200000.0,328000.0,172,14,972
Minneapolis Park and Recreation Board,2022,MN,1590000000.0,333000.0,185,14,796
Minneapolis Park and Recreation Board,2023,MN,1467661000.0,328000.0,180,14,972
Nelson County Parks and Recreation,2017,VA,37497639.0,15020.0,2,3,2
Nelson County Parks and Recreation,2018,VA,209000.0,15097.0,2,4,2
Nelson County Parks and Recreation,2010,VA,,15020.0,4,0,2
District Heights (City of) Recreation Center,2011,MD,,,,,
Maryland Heights Parks and Recreation Department,2010,MO,3400000.0,27000.0,7,0,
Maryland Heights Parks and Recreation Department,2012,MO,40314000.0,27472.0,7,0,45
Maryland Heights Parks and Recreation Department,2014,MO,41074000.0,27472.0,7,0,47
Maryland Heights Parks and Recreation Department,2013,MO,41074000.0,27472.0,7,0,47
Maryland Heights Parks and Recreation Department,2015,MO,41074000.0,27472.0,7,0,47
Sarasota County Government,2017,FL,31116212.0,399538.0,157,77,216
Sarasota County Government,2016,FL,27774708.0,399538.0,,,
Sarasota County Government,2018,FL,29942995.0,417442.0,157,77,222
Sarasota County Government,2019,FL,30225332.0,426275.0,152,55,220
Sarasota County Government,2013,FL,,386147.0,,,
Sarasota County Government,2022,FL,1308549530.0,452373.0,150,52,225
Sarasota County Government,2021,FL,31842796.0,441508.0,146,52,222
Sarasota County Government,2015,,,,,,
Sarasota County Government,2020,FL,30940683.0,438816.0,152,55,215
Upper Gwynedd Township,2011,PA,,,5,0,
Upper Gwynedd Township,2015,PA,19000000.0,15500.0,,,
Puyallup Parks and Recreation Department,2011,WA,93041893.0,36360.0,,,
"Worcester DPW and Parks, Parks, Recreation and Cemetery Division",2011,MA,506076587.0,182892.0,60,0,50
"Worcester DPW and Parks, Parks, Recreation and Cemetery Division",2012,MA,506076587.0,182892.0,60,0,51
Avon (City of) Parks and Recreation Dep,2013,OH,,22000.0,8,4,8
Sunset Hills (City of),2011,MO,,,5,0,71
Sunset Hills (City of),2015,MO,1478000.0,9500.0,7,0,20
Sunset Hills (City of),2016,MO,1685000.0,9500.0,7,0,20
Mansfield Parks and Recreation Department,2016,TX,4775144.0,67628.0,17,5,50
Mansfield Parks and Recreation Department,2015,TX,,57627.0,15,0,
Mansfield Parks and Recreation Department,2011,TX,,56368.0,12,6,24
Mansfield Parks and Recreation Department,2010,TX,,56368.0,12,0,24
Mansfield Parks and Recreation Department,2012,TX,,57627.0,12,6,24
Mansfield Parks and Recreation Department,2013,TX,,57627.0,,,
Mansfield Parks and Recreation Department,2014,TX,,57627.0,15,0,
Mansfield Parks and Recreation Department,2020,TX,77000000.0,75597.0,17,5,50
Mansfield Parks and Recreation Department,2022,TX,108880500.0,76000.0,21,5,61
Lebanon Recreation and Parks Department,2014,NH,,13589.0,9,2,11
Lebanon Recreation and Parks Department,2013,NH,46216150.0,13483.0,10,3,
Lebanon Recreation and Parks Department,2010,NH,,,,,
Lebanon Recreation and Parks Department,2017,NH,29219758.0,13513.0,11,2,11
Lebanon Recreation and Parks Department,2016,NH,29219758.0,13513.0,11,0,11
Lebanon Recreation and Parks Department,2018,NH,32498520.0,13522.0,11,2,11
New Bedford Parks Recreation and Beaches,2016,MA,460026.0,95000.0,,,
New Bedford Parks Recreation and Beaches,2017,MA,303974000.0,95000.0,,,
New Bedford Parks Recreation and Beaches,2015,MA,405280.0,94845.0,30,3,5
New Bedford Parks Recreation and Beaches,2013,MA,8500000.0,95500.0,,,4
New Bedford Parks Recreation and Beaches,2014,MA,286757519.0,95078.0,,,5
New Bedford Parks Recreation and Beaches,2020,MA,23946578.0,95000.0,,,5
Solana Beach (City of),2013,CA,,13500.0,2,0,1
Bloomingdale Park District,2013,IL,,,,,
Bloomingdale Park District,2010,IL,12000.0,22167.0,,,
Bloomingdale Park District,2012,IL,5849304.0,22000.0,13,1,48
Bloomingdale Park District,2015,IL,7224087.0,23000.0,,,
Bloomingdale Park District,2022,IL,7224087.0,23000.0,,,
Prince William County Parks and Recreation Department,2015,VA,503163088.0,446094.0,70,0,392
Prince William County Parks and Recreation Department,2016,,,,,,0
Prince William County Parks and Recreation Department,2019,VA,40702641.0,460000.0,81,,441
Prince William County Parks and Recreation Department,2012,VA,2427127568.0,419006.0,46,16,
Prince William County Parks and Recreation Department,2014,VA,,438580.0,65,5,5
Oshawa (City of),2012,NS,,155000.0,120,50,44
Edina Park and Recreation Dept,2012,MN,86000000.0,47941.0,39,0,97
Edina Park and Recreation Dept,2010,MN,,,39,0,
Edina Park and Recreation Dept,2011,MN,90000000.0,47941.0,39,0,73
Edina Park and Recreation Dept,2014,MN,94160548.0,48000.0,39,0,175
Edina Park and Recreation Dept,2013,MN,86000000.0,47941.0,39,0,97
Edina Park and Recreation Dept,2016,MN,96514561.0,48000.0,39,0,175
Edina Park and Recreation Dept,2015,MN,94160548.0,48000.0,39,0,175
Edina Park and Recreation Dept,2020,MN,94000000.0,53000.0,,,
Glen Ellyn Park District,2020,IL,9645677.0,37569.0,29,0,87
Glen Ellyn Park District,2011,IL,,,29,0,
Gates Recreation and Parks Dep,2011,NY,15000000.0,28400.0,5,0,6
Gates Recreation and Parks Dep,2010,NY,15000000.0,28400.0,5,0,6
Gates Recreation and Parks Dep,2012,NY,,,5,0,
Gates Recreation and Parks Dep,2015,NY,,,5,0,
Gates Recreation and Parks Dep,2016,NY,772964.0,29000.0,,,
Gates Recreation and Parks Dep,2019,NY,862720.0,29000.0,,,
Norwich Recreation Department,2012,CT,,,,,
Crystal Lake Park District,2011,IL,14516460.0,58000.0,42,0,127
Crystal Lake Park District,2014,IL,14825670.0,58000.0,42,0,127
Crystal Lake Park District,2019,IL,15000000.0,55000.0,42,,56
Crystal Lake Park District,2016,IL,15216000.0,58000.0,40,2,90
Crystal Lake Park District,2021,IL,13431865.0,55000.0,36,,56
Crystal Lake Park District,2022,IL,14739197.0,50000.0,36,4,0
Penn Trafford Area Recreation Commission,2011,PA,250000.0,,,,
Clarksville Parks and Recreation,2011,TN,80000000.0,140000.0,100,0,110
Clarksville Parks and Recreation,2010,TN,80000000.0,140000.0,100,0,110
Clarksville Parks and Recreation,2012,TN,86000000.0,140000.0,100,0,110
Clarksville Parks and Recreation,2014,TN,86000000.0,140000.0,100,0,110
Clarksville Parks and Recreation,2013,TN,86000000.0,140000.0,100,0,110
Clarksville Parks and Recreation,2017,TN,,,,,
Clarksville Parks and Recreation,2019,TN,431234884.0,153205.0,34,10,128
Clarksville Parks and Recreation,2018,TN,431234884.0,153205.0,34,10,128
Clarksville Parks and Recreation,2022,TN,589494708.0,161686.0,34,10,128
Clarksville Parks and Recreation,2021,TN,93709618.0,161686.0,34,10,164
Clarksville Parks and Recreation,2020,TN,98719799.0,153205.0,34,10,128
Peoria Community Services Department,2020,AZ,311700000.0,171751.0,36,50,174
Peoria Community Services Department,2021,AZ,313261444.0,181161.0,39,,170
Peoria Community Services Department,2022,,,,,,
Peoria Community Services Department,2018,AZ,277356023.0,173208.0,36,50,258
Peoria Community Services Department,2019,AZ,294438761.0,171751.0,36,50,189
Peoria Community Services Department,2017,AZ,169143955.0,171237.0,36,48,269
Peoria Community Services Department,2015,AZ,237445706.0,168450.0,37,50,114
Peoria Community Services Department,2016,AZ,256429099.0,171237.0,36,47,254
Peoria Community Services Department,2013,AZ,218673623.0,160504.0,36,51,252
Peoria Community Services Department,2014,,229245444.0,164104.0,37,80,616
Peoria Community Services Department,2012,AZ,207307782.0,156780.0,35,51,248
Peoria Community Services Department,2010,AZ,207421295.0,154079.0,95,0,124
Peoria Community Services Department,2011,AZ,204101756.0,156780.0,0,0,248
"Northglenn Department of Parks, Recreation and Cultural Services",2011,CO,26461275.0,34739.0,,,2
"Northglenn Department of Parks, Recreation and Cultural Services",2014,CO,26461275.0,34739.0,,,2
"Northglenn Department of Parks, Recreation and Cultural Services",2013,CO,,,,,
"Northglenn Department of Parks, Recreation and Cultural Services",2022,CO,43639437.0,38419.0,,,45
S Pete Beach (City of) Recreation Department,2013,FL,,,,,
S Pete Beach (City of) Recreation Department,2015,FL,,,,,0
Cupertino (City of) Recreation and Community Services,2018,CA,113850859.0,58302.0,,,
Cupertino (City of) Recreation and Community Services,2013,CA,92541217.0,60009.0,19,8,
Cupertino (City of) Recreation and Community Services,2014,CA,,,,,
Cupertino (City of) Recreation and Community Services,2011,CA,,55162.0,19,8,
Cupertino (City of) Recreation and Community Services,2010,CA,,55840.0,19,8,0
Cupertino (City of) Recreation and Community Services,2009,CA,,55162.0,19,8,0
Cupertino (City of) Recreation and Community Services,2012,CA,107805000.0,60009.0,19,8,
Tucson Parks and Recreation Department,2012,AZ,985893990.0,520116.0,175,30,328
Tucson Parks and Recreation Department,2011,AZ,994108420.0,520116.0,190,0,357
Tucson Parks and Recreation Department,2010,AZ,,,,,
Tucson Parks and Recreation Department,2014,AZ,1052586620.0,527972.0,127,70,463
Tucson Parks and Recreation Department,2013,AZ,1045938820.0,526116.0,129,47,496
Tucson Parks and Recreation Department,2018,AZ,1124232490.0,530706.0,178,36,434
Tucson Parks and Recreation Department,2019,AZ,1149106580.0,545975.0,181,32,337
Tucson Parks and Recreation Department,2015,AZ,945300000.0,531641.0,154,49,478
Tucson Parks and Recreation Department,2017,AZ,1102492470.0,530706.0,178,36,434
Tucson Parks and Recreation Department,2016,AZ,1102492470.0,530706.0,178,36,434
Tucson Parks and Recreation Department,2022,AZ,1352590470.0,543242.0,180,29,430
Tucson Parks and Recreation Department,2021,AZ,38925890.0,542629.0,180,32,433
Tucson Parks and Recreation Department,2020,AZ,28418500.0,548073.0,180,32,307
Scotland County Parks and Recreation,2018,NC,700000.0,33000.0,,,
Scotland County Parks and Recreation,2013,NC,35783248.0,35681.0,12,0,7
Scotland County Parks and Recreation,2014,NC,35783248.0,36025.0,12,0,7
Scotland County Parks and Recreation,2012,NC,35783248.0,35681.0,,,7
Miamisburg Parks and Recreation,2012,OH,56307423.0,20165.0,24,0,58
Miamisburg Parks and Recreation,2010,OH,23980000.0,20181.0,24,0,60
Miamisburg Parks and Recreation,2009,OH,,,24,0,
Miamisburg Parks and Recreation,2011,OH,24800000.0,20181.0,24,0,60
Miamisburg Parks and Recreation,2014,OH,,,,,
Miamisburg Parks and Recreation,2013,OH,,,,,
Miamisburg Parks and Recreation,2016,OH,,,24,2,
Miamisburg Parks and Recreation,2015,OH,,,24,2,
Gaithersburg,2015,MD,49600000.0,65690.0,25,0,101
Gaithersburg,2017,MD,2018509.0,69000.0,25,0,120
Gaithersburg,2018,MD,8928137.0,69000.0,28,0,125
Gaithersburg,2013,MD,46637273.0,64239.0,25,0,118
Gaithersburg,2014,MD,48800000.0,64000.0,26,0,122
Gaithersburg,2011,MD,40692188.0,60785.0,25,0,110
Gaithersburg,2009,MD,42070488.0,58774.0,25,0,126
Gaithersburg,2010,MD,41972403.0,60.0,25,0,129
Gaithersburg,2012,MD,41632325.0,64239.0,25,0,116
Gaithersburg,2022,MD,61477033.0,70000.0,,,
Boulder Parks and Recreation,2022,CO,300093670.0,108250.0,90,,198
Boulder Parks and Recreation,2020,CO,289949901.0,107100.0,90,,191
Boulder Parks and Recreation,2021,CO,272317823.0,108100.0,90,,185
Boulder Parks and Recreation,2010,CO,,103600.0,64,0,202
Boulder Parks and Recreation,2011,CO,,,64,0,
Boulder Parks and Recreation,2019,CO,287262525.0,107100.0,90,,237
Boulder Parks and Recreation,2015,CO,,,,,
Lee County Parks and Recreation,2015,FL,386249662.0,661115.0,270,16,248
Lee County Parks and Recreation,2017,FL,35649133.0,665845.0,286,0,250
Lee County Parks and Recreation,2016,FL,386249662.0,661115.0,270,16,248
Lee County Parks and Recreation,2018,FL,37603478.0,739224.0,82,140,254
Lee County Parks and Recreation,2011,FL,22253142.0,635293.0,225,11,216
Lee County Parks and Recreation,2012,FL,23866202.0,645293.0,225,11,220
Lee County Parks and Recreation,2014,FL,386249662.0,661115.0,270,16,248
Lee County Parks and Recreation,2013,FL,23866202.0,645293.0,225,11,220
Lee County Parks and Recreation,2021,FL,516992555.0,770577.0,177,52,263
Lee County Parks and Recreation,2020,FL,36676501.0,770577.0,90,118,263
Lee County Parks and Recreation,2022,FL,565680464.0,787976.0,178,52,263
"Fredericksburg Parks, Recreation and Public Facilities",2020,VA,2818538.0,29036.0,20,14,32
"Fredericksburg Parks, Recreation and Public Facilities",2022,VA,2818538.0,29036.0,20,14,32
"Fredericksburg Parks, Recreation and Public Facilities",2013,VA,78551790.0,27307.0,,,
"Fredericksburg Parks, Recreation and Public Facilities",2009,VA,72498490.0,,,,
Arapahoe Park and Recreation District,2012,CO,,52000.0,,,14
Arapahoe Park and Recreation District,2015,CO,7471290.0,52000.0,25,5,69
Belmont Parks and Recreation ,2012,NC,,,,,
Rochester Recreation and Arena,2010,NH,19131458.0,29752.0,10,0,13
Rochester Recreation and Arena,2014,NH,19131458.0,29752.0,10,0,13
Rochester Recreation and Arena,2015,NH,111750000.0,29000.0,6,15,19
Rochester Recreation and Arena,2016,NH,116360000.0,30000.0,,,
Little Rock Parks and Recreation,2016,,,,,,0
Little Rock Parks and Recreation,2015,AR,249291673.0,198704.0,62,12,195
Little Rock Parks and Recreation,2017,AR,258478114.0,198704.0,62,12,195
Little Rock Parks and Recreation,2018,AR,264741736.0,197992.0,62,12,195
Little Rock Parks and Recreation,2019,AR,264741736.0,197992.0,63,9,170
Little Rock Parks and Recreation,2014,AR,249291673.0,198704.0,59,0,169
Little Rock Parks and Recreation,2013,AR,,,,,
Little Rock Parks and Recreation,2011,AR,,,,,
Little Rock Parks and Recreation,2012,AR,,,,,
Little Rock Parks and Recreation,2021,AR,264741736.0,197992.0,63,9,170
Little Rock Parks and Recreation,2020,AR,264741736.0,197992.0,63,9,170
Elmhurst Park District,2022,IL,18851660.0,46377.0,29,0,175
Elmhurst Park District,2012,IL,,48000.0,19,8,82
Elmhurst Park District,2019,IL,20398844.0,46662.0,28,0,215
Middlefield Recreation,2013,OH,156601.0,13000.0,4,0,2
Bristol Parks and Recreation,2011,TN,,25500.0,28,0,
Bristol Parks and Recreation,2017,TN,40460560.0,27109.0,,,
Blue Springs Parks and Recreation,2011,MO,,,,,
Blue Springs Parks and Recreation,2010,MO,,,,,
Blue Springs Parks and Recreation,2012,MO,35496451.0,52575.0,21,13,39
Blue Springs Parks and Recreation,2013,MO,,,,,
Blue Springs Parks and Recreation,2022,MO,7020000.0,59430.0,21,2,56
Vienna Parks and Recreation,2011,VA,21000000.0,15587.0,10,60,41
Indy Parks and Recreation,2011,HI,,,,,
Indy Parks and Recreation,2012,IN,,903393.0,,,
Indy Parks and Recreation,2017,,,,,,
Indy Parks and Recreation,2015,IN,1033476146.0,848788.0,208,0,0
Indy Parks and Recreation,2019,IN,,954670.0,,,
Indy Parks and Recreation,2022,IN,33387698.0,971102.0,214,0,258
